=== 0. DATA VALIDATION ===
Period,File,Valid,Peak raw (G),CF raw,Kurt raw,Flat ratio,Removed %,Reason
Jun-24,A_Cooling Pump OAH 02_M1H_1480_Jun24.txt,No,1296.1,63.9686,4083.9599,0.001,0.1,Peak=1296.1G > 50.0G (sensor overrange?) | CF_raw=64.0 > 30.0 (impulse/fault) | Kurtosis_raw=4084.0 > 500.0 (single impulse?)
Sep-24,A_Cooling Pump OAH 02_M1H_1480_Sep24.txt,No,1296.1,63.9737,4083.2729,0.0,0.1,Peak=1296.1G > 50.0G (sensor overrange?) | CF_raw=64.0 > 30.0 (impulse/fault) | Kurtosis_raw=4083.3 > 500.0 (single impulse?)
Oct-24,A_Cooling Pump OAH 02_M1H_1480_Oct24.txt,Yes,1.311,2.2131,-1.1545,0.0005,0.07,

=== 1. VIBRATION METRICS ===
Period,Date/Time,Equipment,Meas. Point,N Raw,Startup Trimmed,Spikes Removed,N Clean,Fence Low (G),Fence High (G),RMS raw (G),RMS clean (G),Peak raw (G),Peak clean (G),Peak-to-Peak (G),Std Dev (G),CF raw,CF clean,Kurtosis raw,Kurtosis clean,Skewness,Fs (Hz),dt (ms),Duration (ms),ISO Zone,Zone Description
Oct-24,16-Oct-24 10:53:12,Cooling Pump for OAH-02,2-COP-02  -M1H  -->  Motor Outboard Horizontal,4096,3,0,4093,-8.844,8.87,0.59237,0.5924,1.311,1.311,2.453,0.5924,2.2131,2.213,-1.1545,-1.1544,-0.0801,2500.0,0.4,1598.428,A,Newly Commissioned / Good

=== 2. TREND ===
Parameter,Oct-24,Flag
RMS (G),0.5924,
Peak (G),1.311,
P2P (G),2.453,
Std Dev (G),0.5924,
Crest Factor,2.213,
Kurtosis,-1.1544,
Skewness,-0.0801,

=== 3. TOP FREQUENCIES ===
Rank,Oct-24 Freq (Hz),Oct-24 Mag (G)
1,1111.04,0.719974
2,1110.43,0.22867
3,1208.77,0.187319
4,1111.65,0.143393
5,1208.16,0.093268
6,1109.82,0.093102
7,817.86,0.079075
8,1112.26,0.075227

=== 4. OUTLIER DETAIL ===
Period,Valid,N Raw,Startup Trim,Spikes Removed,N Clean,IQR k,Fence Low,Fence High,Peak Raw (G),Peak After (G),Replace Method
Jun-24,No,4095,4,0,4091,8.0,-7.813,7.844,1296.1,7.2,interpolate
Sep-24,No,4097,4,0,4093,8.0,-9.942,9.965,1296.1,7.9,interpolate
Oct-24,Yes,4096,3,0,4093,8.0,-8.844,8.87,1.311,1.311,interpolate

